SUMMARY
Total Turnover:,23,828
Total Balance:,+13
Total Profit/Loss:,-40

Batch ID,Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Turnover,Final Balance,Final Bank,Profit/Loss,Status,Success
20251117_151433,104,2011-12-30_116.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,23,27,3,250,0,ACTIVE,Yes
20251117_151433,105,2012-01-01_133.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,11,92,13,253,3,ACTIVE,Yes
20251117_151433,106,2012-01-02_102.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,10,1827,9,252,2,ACTIVE,Yes
20251117_151433,107,2012-01-03_127.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,20,97,11,252,2,ACTIVE,Yes
20251117_151433,108,2012-01-08_90.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,20,0,0,250,0,ACTIVE,Yes
20251117_151433,109,2012-01-09_90.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,14,20,4,251,1,ACTIVE,Yes
20251117_151433,110,2012-01-10_106.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,18,54,9,252,2,ACTIVE,Yes
20251117_151433,111,2012-01-11_120.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,15,44,7,251,1,ACTIVE,Yes
20251117_151433,112,2012-01-12_53b.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,9,0,0,250,0,ACTIVE,Yes
20251117_151433,113,2012-01-12_92a.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,20,0,0,250,0,ACTIVE,Yes
20251117_151433,114,2012-01-14_219.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,18,1366,-1003,-1,-251,ENDED,No
20251117_151433,115,2012-01-18_133.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,22,425,4,251,1,ACTIVE,Yes
20251117_151433,116,2012-01-19_31b.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,6,0,0,250,0,ACTIVE,Yes
20251117_151433,117,2012-01-19_42.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,9,0,0,250,0,ACTIVE,Yes
20251117_151433,118,2012-01-20_43.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,7,10,2,250,0,ACTIVE,Yes
20251117_151433,119,2012-01-21_53.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,4,49,8,252,2,ACTIVE,Yes
20251117_151433,120,2012-01-21_81b.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,13,62,-11,247,-3,ACTIVE,No
20251117_151433,121,2012-01-22_176.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,24,45,9,252,2,ACTIVE,Yes
20251117_151433,122,2012-01-24_86.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,12,71,7,251,1,ACTIVE,Yes
20251117_151433,123,2012-01-25_52.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,9,0,0,250,0,ACTIVE,Yes
20251117_151433,124,2012-01-25b_43.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,9,5,1,250,0,ACTIVE,Yes
20251117_151433,125,2012-01-26a_71.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,7,207,9,252,2,ACTIVE,Yes
20251117_151433,126,2012-01-26b_74.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,11,207,3,250,0,ACTIVE,Yes
20251117_151433,127,2012-01-27a_103.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,14,110,4,251,1,ACTIVE,Yes
20251117_151433,128,2012-01-27b_57.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,16,0,0,250,0,ACTIVE,Yes
20251117_151433,129,2012-01-28a_73.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,6,44,7,251,1,ACTIVE,Yes
20251117_151433,130,2012-01-28b_48.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,6,70,-28,243,-7,ACTIVE,No
20251117_151433,131,2012-01-29_176.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,29,92,-38,240,-10,ACTIVE,No
20251117_151433,132,2012-01-31_104.xls,"Standard (3, 4, 2)",16,Ena,Ena,Dis,Ena,Ena,0,9,58,8,252,2,ACTIVE,Yes
